Event Type,Date,Name,More Info:,Description,Time,Location
Performance,"July 12, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-11-12/?_gl=1*18xr4ii*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQ3NjYkajU3JGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.",5–9 pm,The Met Fifth Avenue
Special Event,"July 13, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-13/?_gl=1*17ltcs5*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQ4NDkkajU3JGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  

Entry for Weekend Member Mornings
Please enter at the 81st Street and Fifth Avenue entrance. Once inside, present your Membership card and proceed directly to the Museum galleries.

See the Exhibitions on View Just for You

Sargent and Paris
Superfine: Tailoring Black Style
Lorna Simpson: Source Notes
Iba Ndiaye: Between Latitude and Longitude
The Roof Garden Commission: Jennie C. Jones, Ensemble",9–10 am,The Met Fifth Avenue
Family Program,"July 13, 2025",81st Street Studio Member Mornings,https://engage.metmuseum.org/events/membership/81st-street-studio-member-mornings/81st-street-studio-member-mornings-july-13/?_gl=1*vxgcak*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQ5MzkkajU4JGwwJGgw,"81st Street Studio, Just for You

Explore the 81st Street Studio–The Met's new space for art, science, and discovery! Family level Members and above are invited to experience the 81st Street Studio before public hours.  ",9–10 am,The Met Fifth Avenue
Family Program,"July 13, 2025",Family Afternoon—Travel,https://engage.metmuseum.org/events/education/workshops-and-classes/family-programs/fy25/family-afternoon-travel/?_gl=1*1teasam*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDQ5OTgkajU5JGwwJGgw,"Come ready to look, imagine, and create! Drop in for free, hands-on family fun. Take inspiration from the exhibition Sargent in Paris to create unique works of art about traveling. Learn how materials make art come to life! Families with children of all ages and abilities are welcome; recommended for children ages 3–11 years. Materials are provided. 

Presented in conjunction with the exhibition Sargent in Paris.
","1–4 pm
","The Met Fifth Avenue

Studio Classroom and Art Study Room, Ruth and Harold D. Uris Center for Education"
Gallery Talk,"July 14, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*1wrbalk*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDUwNTYkajEkbDAkaDA.,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.","11–11:45 am and 2–2:45 pm
","The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 15, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*18c443m*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDUyMTgkajE5JGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.","""11–11:45 am and 2–2:45 pm","The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Lecture,"July 15, 2025",Met Expert Talks—Lorna Simpson: Source Notes ,https://engage.metmuseum.org/events/education/talks/public-programs/met-expert-talks/fy26/met-expert-talks-lorna-simpson/?_gl=1*1u2wh8*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDUyOTgkajIzJGwwJGgw,"Lauren Rosati, Associate Curator and Research Projects Manager, The Leonard A. Lauder Research Center for Modern Art, The Met

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive into a selection of exhibition objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look at the works of art. You’ll also have the opportunity to ask questions.

Presented in conjunction with the exhibition Lorna Simpson: Source Notes.

","3–3:30 pm
","The Met Fifth Avenue

Gallery 913"
Lecture,"July 16, 2025",Art History Study Group—Eighteenth-Century American Furniture,https://engage.metmuseum.org/events/education/workshops-and-classes/public-programs/art-history-study-group/fy26/art-history-study-group-eighteenth-century-american-furniture/?_gl=1*11k3us1*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDU0NzYkajU4JGwwJGgw,"Alyce Perry Englund, Associate Curator of American Decorative Arts, The American Wing, The Met

Expand your knowledge of art history through virtual introductions to core themes and close examination of Met objects with Museum experts. Join curator Alyce Perry Englund, the American Wing, to talk about The Calculated Curve: Eighteenth-Century American Furniture and delve into a pivotal moment in American furniture design from 1720 to 1770. Take a closer look at the materials, ergonomics, and sculptural expression embedded in furniture design during a critical age of global exchange and social stratification.

Presented in conjunction with The Calculated Curve: Eighteenth-Century American Furniture.

Fee: $40. Please note: This live event takes place on Zoom. Space is limited; advance registration is required. Registration closes Tuesday, July 15, 2025, or when registration is full.",3–4:30 pm,"Online

Zoom"
Gallery Talk,"July 17, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*lfmnsn*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDU1NTEkajYwJGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Lecture,"July 17, 2025",Met Expert Talks—On Sighting the Many Identities of the Nāgas,https://engage.metmuseum.org/events/education/talks/public-programs/met-expert-talks/fy26/met-expert-talks-on-sighting-the-many-identities-of-the-nagas/?_gl=1*wmgw2k*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDU2MjUkajYwJGwwJGgw,"Harsha Gautam, Jane and Morgan Whitney Fellow, Department of Asian Art, The Met

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive into a selection of exhibition objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look at the works of art. You’ll also have the opportunity to ask questions.

This talk explores the multiple identities and shifting roles of the enigmatic nāgas (serpent deities) in Indian religions. Focusing on their depictions in sculpture, learn how the nature deities preserved their independence as they were gradually assimilated as minor or subordinate entities within larger Indian religious traditions.
",3–3:30 pm,"The Met Fifth Avenue

Gallery 206"
Performance,"July 18, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-18-29/?_gl=1*1ckxjg8*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDU2ODYkajYwJGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.",5–9 pm,The Met Fifth Avenue
Special Event,"July 19, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-19/?_gl=1*xupxv9*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDU4ODckajYwJGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  

Entry for Weekend Member Mornings
Please enter at the 81st Street and Fifth Avenue entrance. Once inside, present your Membership card and proceed directly to the Museum galleries.

See the Exhibitions on View Just for You

Sargent and Paris
Superfine: Tailoring Black Style
Lorna Simpson: Source Notes
Iba Ndiaye: Between Latitude and Longitude
The Roof Garden Commission: Jennie C. Jones, Ensemble",9–10 am,The Met Fifth Avenue
Workshop,"July 19, 2025",Studio Workshop—Remix Your Portrait,https://engage.metmuseum.org/events/education/workshops-and-classes/creative-practice/studio-workshops/fy26/studio-workshop-remix-your-portrait/?_gl=1*1kilstz*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDYwMTUkajYwJGwwJGgw,"Unleash your creativity in this hands-on workshop for adults! Join Met teaching artists Alayna Wiley and Rebecca Sutton for a playful exploration of mixed-media portraiture. Inspired by artist Lorna Simpson’s bold techniques, you’ll combine elements of poetry, collage, and painting to make your own portrait.

Whether you’re a seasoned artist or curious to try something new, this workshop invites you to experiment with materials and connect with art at The Met in a different way.

Presented in conjunction with the exhibition Lorna Simpson: Source Notes.

Fee: $95. Materials are provided. Please note: Space is limited; advance registration is required. Registration closes on Friday, July 18, 2025, or when registration is full.",1–4 pm,"The Met Fifth Avenue

Carroll Classroom, Ruth and Harold D. Uris Center for Education  "
Workshop,"July 19, 2025",Workshop—Making Iron Gall Ink at The Met Cloisters,https://engage.metmuseum.org/events/education/workshops-and-classes/cloisters/workshops-at-the-met-cloisters/fy26/iron-gall-ink-workshop-cloisters/?_gl=1*17nkdae*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDczMTgkajYwJGwwJGgw,"Iron gall ink, made from commonplace oak galls, iron, and tree sap, was the ink of choice throughout the European Middle Ages. Learn the processes behind iron gall ink, as well as recipes and techniques for this traditional writing and drawing medium, alongside artist Natalie Stopka. Make your own ink to take home.

Fee: $65. All materials are provided. Please note: Space is limited; advance registration is required. Registration closes Thursday, July 17, 2025, or when registration is full. ","2–4 pm
","The Met Cloisters

Gallery 7, Cuxa Cloister"
Performance,"July 19, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-18-29/?_gl=1*9k1047*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDczMjckajUxJGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.
",5–9 pm,The Met Fifth Avenue
Special Event,"July 20, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-20/?_gl=1*lovh49*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDc0NTkkajIxJGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  

",9–10 am,"The Met Fifth Avenue

"
Workshop,"July 20, 2025",How Did They Do That?—Creating The Cloisters,https://engage.metmuseum.org/events/education/workshops-and-classes/cloisters/how-did-they-do-that/fy25/how-did-they-do-that-creating-the-cloisters/?_gl=1*1nmkb52*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDc1NTIkajI4JGwwJGgw,"Peek at technique and learn—through handling tools and materials—how works of art were created. Stop by for hands-on demonstrations and conversations with educators, conservators, artists, and more! Demonstrations repeat every 30 minutes. For visitors of all ages.",1–4 pm,"The Met Cloisters

Gallery 7, Cuxa Cloister"
Gallery Talk,"July 21, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*jgd2o4*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDc2MjMkajYwJGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 22, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*amwf7e*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDc3ODEkajYwJGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 22, 2025",Intern Insights at The Met Cloisters,https://engage.metmuseum.org/events/education/talks/cloisters/intern-insights-at-the-met-cloisters/fy25/intern-insights-at-the-met-cloisters/?_gl=1*115p6h8*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDc5OTckajgkbDAkaDA.,"Join current Met Cloisters undergraduate interns for thematic, interactive conversations about works of art at The Met Cloisters.",3–4 pm,"The Met Cloisters

Meet in the Main Hall"
Gallery Talk,"July 24, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*14kne9o*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDg0NTUkajQ3JGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 24, 2025",Intern Insights at The Met Cloisters,https://engage.metmuseum.org/events/education/talks/cloisters/intern-insights-at-the-met-cloisters/fy25/intern-insights-at-the-met-cloisters/?_gl=1*pjo0g7*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDg2OTYkajYwJGwwJGgw,"Join current Met Cloisters undergraduate interns for thematic, interactive conversations about works of art at The Met Cloisters.",3–4 pm,"The Met Cloisters

Meet in the Main Hall"
Lecture,"July 24, 2025",Met Expert Talks—From the Gift Shop to the Gallery,https://engage.metmuseum.org/events/education/talks/public-programs/met-expert-talks/fy26/met-expert-talks-from-the-gift-shop-to-the-gallery/?_gl=1*19fxq3j*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDg3NTMkajMkbDAkaDA.,"Clara Maria Apostolatos, Kress Interpretive Fellow, Education Department, The Met

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive into a selection of exhibition objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look at the works of art. You’ll also have the opportunity to ask questions.

In this talk, learn about institutional critique, an artistic strategy that emerged in the 1960s and turned the lens around, inviting artists to examine art institutions, rather than simply being on display.

",3–3:30 pm,"The Met Fifth Avenue

Gallery 691, The Charles Z. Offin Gallery"
Lecture,"July 25, 2025",Met Expert Talks at The Met Cloisters—A History of The Met Cloisters,https://engage.metmuseum.org/events/education/talks/cloisters/met-expert-talks-at-the-met-cloisters/fy26/met-expert-talks-cloisters-history/?_gl=1*sc6hfk*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDg4MzIkajYwJGwwJGgw,"In celebration of the 100th anniversary of The Met’s acquisition of The Cloisters Collection, delve into topics that unveil special moments and objects in the history of The Met Cloisters.

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive, into a selection of objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look. You’ll also have the opportunity to ask questions. ","3–3:30 pm
","The Met Cloisters

Main Hall"
